Product,Name,Price (INR),Rating,Comment Heading,Comment
ZOTAC NVIDIA GAMING GeForce GTX 1650 SUPER Twin Fan 4 GB GDDR6 Graphics Card,rakesh  das,15895.0,5,Terrific purchase,Nice
ZOTAC NVIDIA GAMING GeForce GTX 1650 SUPER Twin Fan 4 GB GDDR6 Graphics Card,Kritartha kalita,15895.0,5,Terrific,Excellent product nice packging
ZOTAC NVIDIA GAMING GeForce GTX 1650 SUPER Twin Fan 4 GB GDDR6 Graphics Card,Devendra ab,15895.0,4,Delightful,good
ZOTAC NVIDIA GAMING GeForce GTX 1650 SUPER Twin Fan 4 GB GDDR6 Graphics Card,Jagminder Singh,15895.0,4,Worth the money,Best for budget gaming at 1080p at high fps but GPU cooler is little noise and have high temp then then brands. The cost of the card is very competitive. Good buy for me
ZOTAC NVIDIA GAMING GeForce GTX 1650 SUPER Twin Fan 4 GB GDDR6 Graphics Card,No Name,15895.0,No Rating,No Comment Heading,
ZOTAC NVIDIA GeForce GT 710 2 GB DDR3 Graphics Card,gursajan  singh ,3499.0,5,Great product,If you want to upgrade ur ols pc then its worth other wise go fo 1050 or 1660 it is only for old PC's  i have i3 3 gen with 8gb ram yeah if you want to play cod or gta5 its performance is decent you can gain high fps at low settings
ZOTAC NVIDIA GeForce GT 710 2 GB DDR3 Graphics Card,avi kumar,3499.0,5,Great product,AWESOME graphics card. There is a small fan installed on the top of the graphics card. Its works superfine. It runs HD games smoothly....Loved it
ZOTAC NVIDIA GeForce GT 710 2 GB DDR3 Graphics Card,Flipkart Customer,3499.0,5,Super!,It is very good
ZOTAC NVIDIA GeForce GT 710 2 GB DDR3 Graphics Card,jimi tamut,3499.0,5,Fabulous!,Quite good
ZOTAC NVIDIA GeForce GT 710 2 GB DDR3 Graphics Card,ww e,3499.0,5,Terrific,Games r running smoothly...... :-)
ZOTAC NVIDIA GeForce GT 710 2 GB DDR3 Graphics Card,Alfy Ullas,3499.0,5,Best in the market!,Nice card . Runs game smoothly . I have played far cry 3 full medium and i am getting 50-55 FPS and also GTA V Which gives 35-40 FPS in medium settings at 1330x1060
ZOTAC NVIDIA GeForce GT 710 2 GB DDR3 Graphics Card,Gudiya  Tripathi ,3499.0,5,Highly recommended,nice product.. smoothest game play ever.. 100/: recommend.. please buy my PC was slow working but now it's working fast. my resolution was 1366x768 now I can change to 1920x1080
ZOTAC NVIDIA GeForce GT 710 2 GB DDR3 Graphics Card,Suman Ghosh,3499.0,4,PUBG,"Great Delivery By Flipkart. But problem is The card box was open , packaging Not Good At all. They Also Not Provide driver CD. But Card is New but Box not Sealed. The Card Support PUBG mobile Tencend Gaming Budy. That why given 4 Star. M shocked when Run PUBG its running Very Good."
ZOTAC NVIDIA GeForce GT 710 2 GB DDR3 Graphics Card,Harsh Ranjan,3499.0,3,Just okay,I run the game smoothly like butter
ZOTAC NVIDIA GeForce GT 710 2 GB DDR3 Graphics Card,Sidd Pro,3499.0,4,Very Good,Product was good and it is working well !
ZOTAC NVIDIA GeForce GT 710 2 GB DDR3 Graphics Card,No Name,3499.0,No Rating,No Comment Heading,
